fixture,experiment,evidence_count,members,certificate,baseline_correct_certificate,false_elevation
symmetric_pinned_counterfactual,activation_evidence_subset,0,,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,1,2,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,1,3,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,1,4,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,1,5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,1,6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,2;3,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,2;4,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,2;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,2;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,3;4,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,3;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,3;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,4;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,4;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,2,5;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;3;4,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;3;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;3;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;4;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;4;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,2;5;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,3;4;5,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,3;4;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,3;5;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,3,4;5;6,4,4,0
symmetric_pinned_counterfactual,activation_evidence_subset,4,2;3;4;5,7,4,3
symmetric_pinned_counterfactual,activation_evidence_subset,4,2;3;4;6,7,4,3
symmetric_pinned_counterfactual,activation_evidence_subset,4,2;3;5;6,7,4,3
