set_id,address,start_block,end_block,member_count,threshold,members,owner,publisher,finalized,event_block,event_tx,event_verified,committee_state_verified,period_evidence_audited,positive_resistance_floors,positive_activation_floors,positive_penalty_floors,certificate_status,source
0,0x01fa1012386ab81d7a24b2047121da78fce3985a,34646438,34647408,1,1,0x440dc6f164e9241f04d282215cef2780cd0b755e,0x8a7589135584cecfa5bd73de02864075232407dd,0x89b6596a051feba8ed4dd47c6b1962e51db3ddaf,True,34646439,0xfbbff6b685e77d8cb549162463cf71e70862c41a02f3b9ae3ddec1b0f2efd876,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
1,0x61c2d8cc54320c6adc9a6e182b8ab085737d8464,34647409,34676999,3,2,0x99d6f3d776a51ad3a81769f4a2e93325a3b08349|0x39802d79dd960f3da6d88cadb33f93156dd0c190|0x623b2688e2003984387d711825a543d3eda69c4a,0x8a7589135584cecfa5bd73de02864075232407dd,0x4285657dd77051cbd5f679a33c30351ad12e1c9b,True,34647352,0x682ee3a23a113e20d0801525834783f0a1b5b2514db0ad8e0826d5b58a15171c,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
2,0x93b6e3b6a2b86cfda5845fb1a679e566f77a3ad6,34677000,34696229,3,2,0x99d6f3d776a51ad3a81769f4a2e93325a3b08349|0x39802d79dd960f3da6d88cadb33f93156dd0c190|0x623b2688e2003984387d711825a543d3eda69c4a,0x8a7589135584cecfa5bd73de02864075232407dd,0xfef626756e5d6fe56b427773fbe363d09856cba4,True,34661543,0x3f6b7c65897c96a4ebd2bc451a88aef92b96cadcfc60c60d5fd4b64fa9f25537,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
3,0x8367bbe8268eab8eb55de7d7d93c416decc98b51,34696230,34846579,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x97c3e3acf0211b0b41a7a06f09bf76670d8853e6|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0xe03472ccb8e011b7dfb3343837d75bf6c9c3324c|0x4b5e2356b666898e101627bddc518956bcd90a03,0x8a7589135584cecfa5bd73de02864075232407dd,0xc0e93f7dbc166f5151ea9dd4fef69fdcada5f569,True,34661571,0x1bcd9d5ab8ae16c76e6ccac7ab7a4bc6c9fae7dddf2fbc06f249363525f31de7,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
4,0x8465d445e7e4bccf3596f8b712f62227ab8f1c04,34846580,34914400,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x97c3e3acf0211b0b41a7a06f09bf76670d8853e6|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0xe03472ccb8e011b7dfb3343837d75bf6c9c3324c|0x4b5e2356b666898e101627bddc518956bcd90a03,0x8a7589135584cecfa5bd73de02864075232407dd,0x4934c18c9931366732f202de7f5b5b0a56c989cb,True,34844962,0x2895efa0f4e66c5c3deac07b2f0008d3498439d505fb81965cd1f451b82762bb,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
5,0x76f9c1118f602a923ed3d6aefa20203c0a4ea3c8,34914401,34928437,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x97c3e3acf0211b0b41a7a06f09bf76670d8853e6|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0xe03472ccb8e011b7dfb3343837d75bf6c9c3324c|0x4b5e2356b666898e101627bddc518956bcd90a03,0x8a7589135584cecfa5bd73de02864075232407dd,0x512e85be0ed199db05c164e4dc0f81b7e6330b2c,True,34914393,0x5fdc9a85bb92bae5b8990d7afce61f114f5acf67320a01979578100e94d28ba4,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
6,0x81d5d958b9906556c65c30863475778439999835,34928438,43075411,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x97c3e3acf0211b0b41a7a06f09bf76670d8853e6|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0xe03472ccb8e011b7dfb3343837d75bf6c9c3324c|0x4b5e2356b666898e101627bddc518956bcd90a03,0x8a7589135584cecfa5bd73de02864075232407dd,0xaa7a5c693700a4211f60941224da9dca499727d6,True,34928429,0xb6374255aadc3b72eaefd8cd5ec7b4eca77fb7978aeccd393aaad7347212d7ba,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
7,0xfe3c70e8574e2f043c8b9c67e8b5bbb699910b89,43075412,43309680,8,5,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x772213aad4c6b37d2cc0fa3b74f9ace5a028b8c8|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0xe03472ccb8e011b7dfb3343837d75bf6c9c3324c|0x4b5e2356b666898e101627bddc518956bcd90a03|0x48a0e1789c82084ae28c179bd5742454f8cd4ed6,0x8a7589135584cecfa5bd73de02864075232407dd,0xca1275da02c3469b5a7784c42b564799725a2de1,True,43074688,0xdb650d611dd69a50ad10c2c3f7711894ec86e3731143e0d43234e1bccd5b1bed,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
8,0xbf71206dc5bb759c5ff17a06f52678edfb108bc8,43309681,43310400,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x772213aad4c6b37d2cc0fa3b74f9ace5a028b8c8|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0x4b5e2356b666898e101627bddc518956bcd90a03|0x48a0e1789c82084ae28c179bd5742454f8cd4ed6,0x8a7589135584cecfa5bd73de02864075232407dd,0xc44b50c772f21a67e4ea617eaeace2a8912d1258,True,43308943,0xb519b9a71731914d279b2674742bd9d9e6a7698e4aa39a0bbc7b8f12501f0b4f,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
9,0x887b61739e886bc4bae23e85e652e93ca53d16e3,43310401,46271879,7,4,0x4ba8e8e0061ea7ce9353e7b641a116f1d48d9d46|0xcb43aeaa8c029da18a499dc684fdd250ab3fcd13|0x46c24a9b4c92aeb416d732801208add353635ec4|0x772213aad4c6b37d2cc0fa3b74f9ace5a028b8c8|0x2711d53b3df060d08ac30c6517d4b8eed50a54b3|0x4b5e2356b666898e101627bddc518956bcd90a03|0x48a0e1789c82084ae28c179bd5742454f8cd4ed6,0x8a7589135584cecfa5bd73de02864075232407dd,0x40d27814aeab9baeda115289db761cefea9ebb2b,True,43309745,0xfa522178a95fc6101073b74a1ef581026a3c58e5c479d6ccb4020fa3f0c49d8a,True,True,False,,,,NOT_EVALUATED_MISSING_PERIOD_EVIDENCE,live_rpc_committee_state_only
