trial,seed,dimension,alternative_count,l1_distance,analytic_separation_margin,tolerance,classification
120,20260725,3,4,1.9999999996526063e-07,1.0000000000287557e-07,1e-10,separable
120,20260725,3,4,1.9999999996526063e-07,1.0000000000287557e-07,1e-08,separable
120,20260725,3,4,1.9999999996526063e-07,1.0000000000287557e-07,1e-06,replaceable
121,20260725,3,4,1.9999999998630426e-07,9.999999999940612e-08,1e-10,separable
121,20260725,3,4,1.9999999998630426e-07,9.999999999940612e-08,1e-08,separable
121,20260725,3,4,1.9999999998630426e-07,9.999999999940612e-08,1e-06,replaceable
122,20260725,3,4,1.999999999330956e-07,9.999999999940612e-08,1e-10,separable
122,20260725,3,4,1.999999999330956e-07,9.999999999940612e-08,1e-08,separable
122,20260725,3,4,1.999999999330956e-07,9.999999999940612e-08,1e-06,replaceable
123,20260725,3,4,1.9999999994813145e-07,9.999999999940612e-08,1e-10,separable
123,20260725,3,4,1.9999999994813145e-07,9.999999999940612e-08,1e-08,separable
123,20260725,3,4,1.9999999994813145e-07,9.999999999940612e-08,1e-06,replaceable
124,20260725,3,4,2.0000000000575113e-07,1.0000000000287557e-07,1e-10,separable
124,20260725,3,4,2.0000000000575113e-07,1.0000000000287557e-07,1e-08,separable
124,20260725,3,4,2.0000000000575113e-07,1.0000000000287557e-07,1e-06,replaceable
125,20260725,3,4,1.9999999983690978e-07,9.999999999940612e-08,1e-10,separable
125,20260725,3,4,1.9999999983690978e-07,9.999999999940612e-08,1e-08,separable
125,20260725,3,4,1.9999999983690978e-07,9.999999999940612e-08,1e-06,replaceable
126,20260725,3,4,1.9999999989718051e-07,9.999999999940612e-08,1e-10,separable
126,20260725,3,4,1.9999999989718051e-07,9.999999999940612e-08,1e-08,separable
126,20260725,3,4,1.9999999989718051e-07,9.999999999940612e-08,1e-06,replaceable
127,20260725,3,4,1.9999999993821571e-07,9.999999999940612e-08,1e-10,separable
127,20260725,3,4,1.9999999993821571e-07,9.999999999940612e-08,1e-08,separable
127,20260725,3,4,1.9999999993821571e-07,9.999999999940612e-08,1e-06,replaceable
128,20260725,3,4,1.9999999996921633e-07,9.999999999940612e-08,1e-10,separable
128,20260725,3,4,1.9999999996921633e-07,9.999999999940612e-08,1e-08,separable
128,20260725,3,4,1.9999999996921633e-07,9.999999999940612e-08,1e-06,replaceable
129,20260725,3,4,2.0000000014547065e-07,9.999999999940612e-08,1e-10,separable
129,20260725,3,4,2.0000000014547065e-07,9.999999999940612e-08,1e-08,separable
129,20260725,3,4,2.0000000014547065e-07,9.999999999940612e-08,1e-06,replaceable
130,20260725,3,4,1.999999999524796e-07,1.0000000000287557e-07,1e-10,separable
130,20260725,3,4,1.999999999524796e-07,1.0000000000287557e-07,1e-08,separable
130,20260725,3,4,1.999999999524796e-07,1.0000000000287557e-07,1e-06,replaceable
131,20260725,3,4,2.0000000003523974e-07,1.0000000000287557e-07,1e-10,separable
131,20260725,3,4,2.0000000003523974e-07,1.0000000000287557e-07,1e-08,separable
131,20260725,3,4,2.0000000003523974e-07,1.0000000000287557e-07,1e-06,replaceable
132,20260725,3,4,1.9999999996726074e-07,1.0000000000287557e-07,1e-10,separable
132,20260725,3,4,1.9999999996726074e-07,1.0000000000287557e-07,1e-08,separable
132,20260725,3,4,1.9999999996726074e-07,1.0000000000287557e-07,1e-06,replaceable
133,20260725,3,4,1.9999999992485155e-07,1.0000000000287557e-07,1e-10,separable
133,20260725,3,4,1.9999999992485155e-07,1.0000000000287557e-07,1e-08,separable
133,20260725,3,4,1.9999999992485155e-07,1.0000000000287557e-07,1e-06,replaceable
134,20260725,3,4,1.9999999999881224e-07,9.999999999940612e-08,1e-10,separable
134,20260725,3,4,1.9999999999881224e-07,9.999999999940612e-08,1e-08,separable
134,20260725,3,4,1.9999999999881224e-07,9.999999999940612e-08,1e-06,replaceable
