trial,seed,dimension,alternative_count,repetition,true_class,predicted_class,l1_distance,construction_epsilon,construction_residual_l1,analytic_separation_margin,ground_truth_witness_valid,tolerance,runtime_ms,coefficient_sum
0,20260725,3,4,0,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,1.321300005656667,0.9999999999999998
1,20260725,3,4,1,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.4837000014958903,1.0
2,20260725,3,4,2,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3603000077418983,1.0
3,20260725,3,4,3,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.35879999632015824,0.9999999999999998
4,20260725,3,4,4,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3558000025805086,1.0
5,20260725,3,4,5,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.38270000368356705,1.0000000000000002
6,20260725,3,4,6,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3360999980941415,0.9999999999999998
7,20260725,3,4,7,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.37740000698249787,1.0000000000000002
8,20260725,3,4,8,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.32449999707750976,1.0000000000000002
9,20260725,3,4,9,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3556000010576099,1.0000000000000002
10,20260725,3,4,10,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3102000046055764,1.0
11,20260725,3,4,11,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3152999997837469,1.0000000000000002
12,20260725,3,4,12,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3053999971598387,1.0000000000000002
13,20260725,3,4,13,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2961999998660758,0.9999999999999998
14,20260725,3,4,14,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3108999953838065,1.0
15,20260725,3,4,15,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3001000004587695,0.9999999999999999
16,20260725,3,4,16,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.301199994282797,1.0
17,20260725,3,4,17,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3606999962357804,1.0000000000000002
18,20260725,3,4,18,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3311000036774203,1.0
19,20260725,3,4,19,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.29779999749735,1.0
20,20260725,3,4,20,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3007000050274655,0.9999999999999999
21,20260725,3,4,21,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.28759999258909374,0.9999999999999998
22,20260725,3,4,22,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2798000059556216,0.9999999999999999
23,20260725,3,4,23,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.27859999681822956,0.9999999999999998
24,20260725,3,4,24,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2973000082420185,1.0
25,20260725,3,4,25,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2783999952953309,1.0000000000000002
26,20260725,3,4,26,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.28500000189524144,1.0
27,20260725,3,4,27,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.3023000026587397,1.0
28,20260725,3,4,28,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.279399988357909,1.0000000000000002
29,20260725,3,4,29,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.2902999985963106,1.0
30,20260725,3,4,30,replaceable,replaceable,0.0,0.0,0.0,,True,1e-08,0.37989999691490084,1.0000000000000002
