day,settlement_tx_count
2024-07-12 00:00:00.000 UTC,720
2024-07-13 00:00:00.000 UTC,335
2024-07-14 00:00:00.000 UTC,609
2024-07-15 00:00:00.000 UTC,2102
2024-07-16 00:00:00.000 UTC,1611
2024-07-17 00:00:00.000 UTC,1626
2024-07-18 00:00:00.000 UTC,1285
2024-07-19 00:00:00.000 UTC,1088
2024-07-20 00:00:00.000 UTC,825
2024-07-21 00:00:00.000 UTC,1016
2024-07-22 00:00:00.000 UTC,1288
2024-07-23 00:00:00.000 UTC,1966
2024-07-24 00:00:00.000 UTC,1094
2024-07-25 00:00:00.000 UTC,1213
2024-07-26 00:00:00.000 UTC,1515
2024-07-27 00:00:00.000 UTC,1803
2024-07-28 00:00:00.000 UTC,1508
2024-07-29 00:00:00.000 UTC,2286
2024-07-30 00:00:00.000 UTC,2130
2024-07-31 00:00:00.000 UTC,1953
2024-08-01 00:00:00.000 UTC,1578
2024-08-02 00:00:00.000 UTC,1355
2024-08-03 00:00:00.000 UTC,1524
2024-08-04 00:00:00.000 UTC,1895
2024-08-05 00:00:00.000 UTC,2357
2024-08-06 00:00:00.000 UTC,1369
2024-08-07 00:00:00.000 UTC,1385
2024-08-08 00:00:00.000 UTC,1775
2024-08-09 00:00:00.000 UTC,1885
2024-08-10 00:00:00.000 UTC,903
2024-08-11 00:00:00.000 UTC,1348
2024-08-12 00:00:00.000 UTC,1433
2024-08-13 00:00:00.000 UTC,1952
2024-08-14 00:00:00.000 UTC,2145
2024-08-15 00:00:00.000 UTC,1304
2024-08-16 00:00:00.000 UTC,947
2024-08-17 00:00:00.000 UTC,410
2024-08-18 00:00:00.000 UTC,1170
2024-08-19 00:00:00.000 UTC,989
2024-08-20 00:00:00.000 UTC,986
2024-08-21 00:00:00.000 UTC,1096
2024-08-22 00:00:00.000 UTC,910
2024-08-23 00:00:00.000 UTC,2161
2024-08-24 00:00:00.000 UTC,1752
2024-08-25 00:00:00.000 UTC,1082
2024-08-26 00:00:00.000 UTC,2070
2024-08-27 00:00:00.000 UTC,1720
2024-08-28 00:00:00.000 UTC,2108
2024-08-29 00:00:00.000 UTC,1764
2024-08-30 00:00:00.000 UTC,1589
2024-08-31 00:00:00.000 UTC,1386
