profile,n,resistances,mean_resistance,minimum_resistance,threshold_shares,threshold_fraction,initial_exposure_shares,initial_exposure_fraction,required_additional_shares,exact_certificate,certificate_per_required_share,relative_to_uniform_profile
uniform,7,10;10;10;10;10;10;10,10.000000,10,3,3/7,0,0/7,3,30,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,3,3/7,1,1/7,2,20,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,3,3/7,2,2/7,1,10,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,4,4/7,0,0/7,4,40,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,4,4/7,1,1/7,3,30,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,4,4/7,2,2/7,2,20,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,5,5/7,0,0/7,5,50,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,5,5/7,1,1/7,4,40,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,5,5/7,2,2/7,3,30,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,6,6/7,0,0/7,6,60,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,6,6/7,1,1/7,5,50,10.000000,1.000000
uniform,7,10;10;10;10;10;10;10,10.000000,10,6,6/7,2,2/7,4,40,10.000000,1.000000
balanced,7,7;8;9;10;11;12;13,10.000000,7,3,3/7,0,0/7,3,24,8.000000,0.800000
balanced,7,7;8;9;10;11;12;13,10.000000,7,3,3/7,1,1/7,2,15,7.500000,0.750000
balanced,7,7;8;9;10;11;12;13,10.000000,7,3,3/7,2,2/7,1,7,7.000000,0.700000
balanced,7,7;8;9;10;11;12;13,10.000000,7,4,4/7,0,0/7,4,34,8.500000,0.850000
balanced,7,7;8;9;10;11;12;13,10.000000,7,4,4/7,1,1/7,3,24,8.000000,0.800000
balanced,7,7;8;9;10;11;12;13,10.000000,7,4,4/7,2,2/7,2,15,7.500000,0.750000
balanced,7,7;8;9;10;11;12;13,10.000000,7,5,5/7,0,0/7,5,45,9.000000,0.900000
balanced,7,7;8;9;10;11;12;13,10.000000,7,5,5/7,1,1/7,4,34,8.500000,0.850000
balanced,7,7;8;9;10;11;12;13,10.000000,7,5,5/7,2,2/7,3,24,8.000000,0.800000
balanced,7,7;8;9;10;11;12;13,10.000000,7,6,6/7,0,0/7,6,57,9.500000,0.950000
balanced,7,7;8;9;10;11;12;13,10.000000,7,6,6/7,1,1/7,5,45,9.000000,0.900000
balanced,7,7;8;9;10;11;12;13,10.000000,7,6,6/7,2,2/7,4,34,8.500000,0.850000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,3,3/7,0,0/7,3,12,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,3,3/7,1,1/7,2,8,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,3,3/7,2,2/7,1,4,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,4,4/7,0,0/7,4,16,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,4,4/7,1,1/7,3,12,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,4,4/7,2,2/7,2,8,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,5,5/7,0,0/7,5,34,6.800000,0.680000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,5,5/7,1,1/7,4,16,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,5,5/7,2,2/7,3,12,4.000000,0.400000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,6,6/7,0,0/7,6,52,8.666667,0.866667
bimodal,7,4;4;4;4;18;18;18,10.000000,4,6,6/7,1,1/7,5,34,6.800000,0.680000
bimodal,7,4;4;4;4;18;18;18,10.000000,4,6,6/7,2,2/7,4,16,4.000000,0.400000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,3,3/7,0,0/7,3,10,3.333333,0.333333
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,3,3/7,1,1/7,2,4,2.000000,0.200000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,3,3/7,2,2/7,1,1,1.000000,0.100000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,4,4/7,0,0/7,4,18,4.500000,0.450000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,4,4/7,1,1/7,3,10,3.333333,0.333333
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,4,4/7,2,2/7,2,4,2.000000,0.200000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,5,5/7,0,0/7,5,29,5.800000,0.580000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,5,5/7,1,1/7,4,18,4.500000,0.450000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,5,5/7,2,2/7,3,10,3.333333,0.333333
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,6,6/7,0,0/7,6,45,7.500000,0.750000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,6,6/7,1,1/7,5,29,5.800000,0.580000
heavy_lower_tail,7,1;3;6;8;11;16;25,10.000000,1,6,6/7,2,2/7,4,18,4.500000,0.450000
