case,profile,n,threshold_shares,initial_exposure_shares,required_additional_shares,exact_certificate
degenerate_threshold_margin,uniform,7,1,0,1,10
degenerate_threshold_margin,uniform,7,7,0,7,70
degenerate_threshold_margin,uniform,7,7,1,6,60
degenerate_threshold_margin,uniform,7,7,2,5,50
degenerate_threshold_margin,balanced,7,1,0,1,7
degenerate_threshold_margin,balanced,7,7,0,7,70
degenerate_threshold_margin,balanced,7,7,1,6,57
degenerate_threshold_margin,balanced,7,7,2,5,45
degenerate_threshold_margin,bimodal,7,1,0,1,4
degenerate_threshold_margin,bimodal,7,7,0,7,70
degenerate_threshold_margin,bimodal,7,7,1,6,52
degenerate_threshold_margin,bimodal,7,7,2,5,34
degenerate_threshold_margin,heavy_lower_tail,7,1,0,1,1
degenerate_threshold_margin,heavy_lower_tail,7,7,0,7,70
degenerate_threshold_margin,heavy_lower_tail,7,7,1,6,45
degenerate_threshold_margin,heavy_lower_tail,7,7,2,5,29
boundary_resistance_profile,all_zero,7,1,0,1,0
boundary_resistance_profile,all_zero,7,3,0,3,0
boundary_resistance_profile,all_zero,7,3,1,2,0
boundary_resistance_profile,all_zero,7,3,2,1,0
boundary_resistance_profile,all_zero,7,4,0,4,0
boundary_resistance_profile,all_zero,7,4,1,3,0
boundary_resistance_profile,all_zero,7,4,2,2,0
boundary_resistance_profile,all_zero,7,5,0,5,0
boundary_resistance_profile,all_zero,7,5,1,4,0
boundary_resistance_profile,all_zero,7,5,2,3,0
boundary_resistance_profile,all_zero,7,6,0,6,0
boundary_resistance_profile,all_zero,7,6,1,5,0
boundary_resistance_profile,all_zero,7,6,2,4,0
boundary_resistance_profile,all_zero,7,7,0,7,0
boundary_resistance_profile,all_zero,7,7,1,6,0
boundary_resistance_profile,all_zero,7,7,2,5,0
boundary_resistance_profile,single_dominant_member,7,1,0,1,1
boundary_resistance_profile,single_dominant_member,7,3,0,3,3
boundary_resistance_profile,single_dominant_member,7,3,1,2,2
boundary_resistance_profile,single_dominant_member,7,3,2,1,1
boundary_resistance_profile,single_dominant_member,7,4,0,4,4
boundary_resistance_profile,single_dominant_member,7,4,1,3,3
boundary_resistance_profile,single_dominant_member,7,4,2,2,2
boundary_resistance_profile,single_dominant_member,7,5,0,5,5
boundary_resistance_profile,single_dominant_member,7,5,1,4,4
boundary_resistance_profile,single_dominant_member,7,5,2,3,3
boundary_resistance_profile,single_dominant_member,7,6,0,6,6
boundary_resistance_profile,single_dominant_member,7,6,1,5,5
boundary_resistance_profile,single_dominant_member,7,6,2,4,4
boundary_resistance_profile,single_dominant_member,7,7,0,7,106
boundary_resistance_profile,single_dominant_member,7,7,1,6,6
boundary_resistance_profile,single_dominant_member,7,7,2,5,5
larger_committee,uniform,14,8,0,8,80
larger_committee,uniform,14,14,0,14,140
larger_committee,balanced,14,8,0,8,68
larger_committee,balanced,14,14,0,14,140
larger_committee,bimodal,14,8,0,8,32
larger_committee,bimodal,14,14,0,14,140
larger_committee,heavy_lower_tail,14,8,0,8,36
larger_committee,heavy_lower_tail,14,14,0,14,140
larger_committee,uniform,28,16,0,16,160
larger_committee,uniform,28,28,0,28,280
larger_committee,balanced,28,16,0,16,136
larger_committee,balanced,28,28,0,28,280
larger_committee,bimodal,28,16,0,16,64
larger_committee,bimodal,28,28,0,28,280
larger_committee,heavy_lower_tail,28,16,0,16,72
larger_committee,heavy_lower_tail,28,28,0,28,280
