budget,strategy,certificate,h_d1,h_d2,h_b1,h_b2,h_b3,h_b4,h_b5,h_b6,cover_1,cover_2,cover_3,cover_4
0,cheapest_resistance,6,0,0,0,0,0,0,0,0,6,6,6,6
0,largest_weight,6,0,0,0,0,0,0,0,0,6,6,6,6
0,bottleneck,6,0,0,0,0,0,0,0,0,6,6,6,6
2,cheapest_resistance,6,1,1,0,0,0,0,0,0,6,6,6,6
2,largest_weight,6,1,1,0,0,0,0,0,0,6,6,6,6
2,bottleneck,7,0,0,0,0,1,1,0,0,7,7,7,7
4,cheapest_resistance,6,2,2,0,0,0,0,0,0,6,6,6,6
4,largest_weight,6,1,1,1,1,0,0,0,0,8,7,7,6
4,bottleneck,8,0,0,0,0,2,2,0,0,8,8,8,8
6,cheapest_resistance,6,2,2,1,1,0,0,0,0,8,7,7,6
6,largest_weight,7,1,1,1,1,1,1,0,0,9,8,8,7
6,bottleneck,9,0,0,0,0,3,3,0,0,9,9,9,9
8,cheapest_resistance,7,2,2,1,1,1,1,0,0,9,8,8,7
8,largest_weight,9,1,1,1,1,1,1,1,1,9,9,9,9
8,bottleneck,10,0,0,0,0,4,4,0,0,10,10,10,10
10,cheapest_resistance,9,2,2,1,1,1,1,1,1,9,9,9,9
10,largest_weight,9,2,2,1,1,1,1,1,1,9,9,9,9
10,bottleneck,11,0,0,0,0,5,5,0,0,11,11,11,11
