k,multiple_M,decoy_increment,exact_value,greedy_value,greedy_to_exact_gain_ratio,construction_check
2,10.0,0.05,20.0,2.1,0.00555555555555556,True
2,100.0,0.05,200.0,2.1,0.0005050505050505055,True
2,1000.0,0.05,2000.0,2.1,5.005005005005009e-05,True
3,10.0,0.03333333333333333,20.0,2.1,0.00555555555555556,True
3,100.0,0.03333333333333333,200.0,2.1,0.0005050505050505055,True
3,1000.0,0.03333333333333333,2000.0,2.1,5.005005005005009e-05,True
4,10.0,0.025,20.0,2.1,0.00555555555555556,True
4,100.0,0.025,200.0,2.1,0.0005050505050505055,True
4,1000.0,0.025,2000.0,2.1,5.005005005005009e-05,True
6,10.0,0.016666666666666666,20.0,2.1,0.00555555555555556,True
6,100.0,0.016666666666666666,200.0,2.1,0.0005050505050505055,True
6,1000.0,0.016666666666666666,2000.0,2.1,5.005005005005009e-05,True
8,10.0,0.0125,20.0,2.1,0.00555555555555556,True
8,100.0,0.0125,200.0,2.1,0.0005050505050505055,True
8,1000.0,0.0125,2000.0,2.1,5.005005005005009e-05,True
