trial,baseline,full_defense_value,target,minimal_plan_count,minimum_plan_size
0,7.557570507848828,32.49244231432547,22.518493591734813,5,3
1,13.15997793956301,38.225423293718336,28.199245152056207,6,3
2,16.63104294167459,23.292657270602465,20.628011539031313,5,3
3,13.564455902929781,34.05540939943566,25.85902800083331,6,3
4,9.197845945391965,34.37479486550181,24.304015297457873,5,3
5,20.079858566310527,37.496743825734086,30.52998972196466,7,5
6,12.959434530447759,34.305257170158626,25.76692811427428,8,4
7,18.79632524559665,45.81869986355486,35.00975001637158,6,5
8,20.282946201361888,43.86690330500897,34.43332046355013,6,5
9,14.77411581530598,28.073563643455053,22.753784512195423,6,4
10,10.101963397448309,36.77209608357447,26.104043009124002,6,4
11,14.924698733127975,36.51279537234848,27.877556716660276,6,3
12,17.45050494811469,36.91589770835235,29.129740604257286,6,3
13,12.374346211285303,34.94473741105964,25.916580931149905,6,5
14,15.856071309306962,48.329209329369824,35.339954121344675,7,5
15,22.657587033277405,52.544442255534214,40.58970016663149,9,4
16,15.12795622302302,27.94227568218448,22.816547898519897,5,4
17,30.653596333048853,48.623702150503675,41.435659823521746,5,5
18,14.742194365366691,45.26413541489107,33.05535899508132,9,5
19,20.101590022861586,51.93942745030759,39.20429247932918,6,5
20,20.606948963017146,35.714190126825855,29.67129366130237,3,2
21,15.750589214819744,28.57257020661045,23.44377780989417,5,2
22,11.35666294652799,35.408781855452744,25.78793429188284,7,4
23,13.644007193014344,40.30729377230837,29.641979140590756,9,5
24,16.376925606539427,48.635459870122645,35.73204616468935,7,4
25,18.483012378124016,42.77503751743515,33.0582274617107,6,5
26,14.231791529927609,36.60790256592267,27.657458151524644,4,2
27,23.09351267431555,44.88592089494799,36.16895760669502,7,4
28,11.112410886378655,37.94935190546506,27.214575497830495,6,4
29,17.316815449528633,37.43437447381971,29.387350864103276,4,4
30,10.493391191811181,33.831848733232505,24.496465716663977,6,5
31,18.217510580172245,41.4827910501385,32.176678862152,6,5
32,17.4495463573723,48.32272988441728,35.973456473599285,8,5
33,11.98793342024854,36.73421109596545,26.835700025678683,7,4
34,8.474910495145595,34.52784088985956,24.106668731973976,8,4
35,16.507140221976535,42.0930828202841,31.858705780961074,8,5
36,16.32049055850282,36.285026309540875,28.299212009125654,7,4
37,10.581806710635734,34.202490465817355,24.754216963744707,6,4
38,23.59387988808083,44.43643140510838,36.099410798297356,10,5
39,8.560735078426765,32.36179219687816,22.841369349497604,6,4
40,13.066203926280657,33.92591486083859,25.582030487015416,5,4
41,12.444455277958802,27.63140942673099,21.556627767222114,7,4
42,9.588859335636874,26.336944661523976,19.637710531169134,4,3
43,25.12519354762322,48.0228793243903,38.86380501368347,6,5
44,11.782145774009207,32.65930425815732,24.308440864498074,8,5
45,13.11044784478908,50.838374007537126,35.74720354243791,5,4
46,16.65360318166878,34.196694900204314,27.179458212790102,3,2
47,7.9128237554289305,25.852211617318233,18.67645647256251,4,3
48,21.716250467804944,43.44861865161589,34.755671378091506,9,5
49,14.467947547079522,44.439361603396506,32.450795980869714,10,5
50,20.146253992597586,45.13712688373486,35.140777727279946,7,5
51,7.899236287743787,34.89307665286017,24.095540506813613,8,5
52,12.560215777345455,39.347268059801024,28.632447146818794,7,4
53,14.416824562809895,42.011144267144275,30.973416385410523,8,4
54,16.547338568593492,37.55912654199305,29.154411352633225,9,4
55,16.891575083045566,48.386851197122944,35.78874075149199,9,5
56,15.081178378364186,43.405884489401814,32.076002044986765,7,5
57,17.396027499014536,40.47140646835738,31.24125488062024,8,4
58,15.488799077774855,48.497097118041744,35.29377790193499,5,4
59,14.4190753279258,31.866132739466757,24.887309774850372,7,4
60,20.443588191988308,45.31136537780111,35.36425450347599,4,4
61,13.799312386074615,41.94895738973513,30.68909938827092,9,4
62,10.838335015912833,33.25458799892703,24.28808680572135,5,3
63,15.267927547320138,36.11241466488662,27.774619817860028,5,4
64,15.878748488390762,41.73236827370318,31.39092035957821,7,4
65,15.81762991898075,34.49996229503019,27.027029344610412,5,3
66,24.906894376812932,46.894691299657566,38.09957253051971,6,4
67,12.941777130994677,29.058170199261575,22.611612971954813,5,4
68,14.741033770377326,40.739719012336664,30.34024491555293,8,4
69,22.719494881383646,51.24429867852394,39.834377159667824,9,5
70,10.060750047717619,32.48530358433316,23.51548216968694,6,4
71,7.19853744319288,32.08087006738693,22.12793701770931,5,5
72,7.880886306234484,40.403078456132384,27.39420159617322,6,5
73,17.4549813541324,36.28333731951244,28.75199493336042,4,3
74,16.041458275168957,49.15107400141611,35.907227710917255,10,4
75,9.237496430457824,33.76849639188455,23.956096407313858,6,5
76,12.23994810483949,18.80045981441372,16.17625513058403,3,2
77,19.35252562264455,46.61787620596304,35.711735972635644,7,4
78,18.722978757424436,32.5865598096268,27.041127388745853,6,4
79,11.308489733504008,40.965982345360715,29.10298530061803,8,4
80,10.436641066008871,33.51049253259967,24.280951945963352,9,4
81,14.314342998373098,35.79225575211088,27.201090650615768,7,4
82,18.50613888461956,38.08925137576644,30.256006379307685,4,3
83,12.57242507925972,31.728127414410068,24.065846480349926,4,4
84,14.972582078855666,38.06378021782645,28.827300962238134,7,4
85,18.25879328803051,30.638917382050835,25.686867744442704,6,4
86,14.38740805357594,40.457150193593435,30.02925333758644,8,5
87,14.306081509227166,40.393191431058725,29.958347462326103,7,4
88,9.543868096522273,32.834901443556575,23.51848810474285,1,2
89,12.043889473028134,35.678308892474405,26.224541124695897,7,5
90,22.629120416498445,50.73870197633975,39.49486935240323,9,5
91,15.645409189585472,41.781153489825854,31.3268557697297,7,4
