k,multiple_M,maximum_retained_order,true_full_value,truncated_full_value,underprediction_ratio
2,2,1,4,2,2.0
2,10,1,20,2,10.0
2,100,1,200,2,100.0
3,2,1,4,2,2.0
3,2,2,4,2,2.0
3,10,1,20,2,10.0
3,10,2,20,2,10.0
3,100,1,200,2,100.0
3,100,2,200,2,100.0
4,2,1,4,2,2.0
4,2,2,4,2,2.0
4,2,3,4,2,2.0
4,10,1,20,2,10.0
4,10,2,20,2,10.0
4,10,3,20,2,10.0
4,100,1,200,2,100.0
4,100,2,200,2,100.0
4,100,3,200,2,100.0
5,2,1,4,2,2.0
5,2,2,4,2,2.0
5,2,3,4,2,2.0
5,2,4,4,2,2.0
5,10,1,20,2,10.0
5,10,2,20,2,10.0
5,10,3,20,2,10.0
5,10,4,20,2,10.0
5,100,1,200,2,100.0
5,100,2,200,2,100.0
5,100,3,200,2,100.0
5,100,4,200,2,100.0
6,2,1,4,2,2.0
6,2,2,4,2,2.0
6,2,3,4,2,2.0
6,2,4,4,2,2.0
6,2,5,4,2,2.0
6,10,1,20,2,10.0
6,10,2,20,2,10.0
6,10,3,20,2,10.0
6,10,4,20,2,10.0
6,10,5,20,2,10.0
6,100,1,200,2,100.0
6,100,2,200,2,100.0
6,100,3,200,2,100.0
6,100,4,200,2,100.0
6,100,5,200,2,100.0
8,2,1,4,2,2.0
8,2,2,4,2,2.0
8,2,3,4,2,2.0
8,2,4,4,2,2.0
8,2,5,4,2,2.0
8,2,6,4,2,2.0
8,2,7,4,2,2.0
8,10,1,20,2,10.0
8,10,2,20,2,10.0
8,10,3,20,2,10.0
8,10,4,20,2,10.0
8,10,5,20,2,10.0
8,10,6,20,2,10.0
8,10,7,20,2,10.0
8,100,1,200,2,100.0
8,100,2,200,2,100.0
8,100,3,200,2,100.0
8,100,4,200,2,100.0
8,100,5,200,2,100.0
8,100,6,200,2,100.0
8,100,7,200,2,100.0
