trial,action_budget,baseline,exact_value,greedy_value,greedy_gain_ratio
0,1,7.557570507848828,13.468487485364255,13.468487485364255,1.0
0,2,7.557570507848828,20.007902804629218,20.007902804629218,1.0
0,3,7.557570507848828,26.222084340076375,26.222084340076375,1.0
1,1,13.15997793956301,20.22478327082946,20.22478327082946,1.0
1,2,13.15997793956301,26.204598177873585,26.204598177873585,1.0
1,3,13.15997793956301,32.57068767530079,32.57068767530079,1.0
2,1,16.63104294167459,18.53265228827308,18.53265228827308,1.0
2,2,16.63104294167459,19.885999928829367,19.885999928829367,1.0
2,3,16.63104294167459,21.179020675244605,21.179020675244605,1.0
3,1,13.564455902929781,19.514289806486097,19.514289806486097,1.0
3,2,13.564455902929781,24.450348082631955,24.450348082631955,1.0
3,3,13.564455902929781,28.162174068054064,28.162174068054064,1.0
4,1,9.197845945391965,15.334591069908328,15.334591069908328,1.0
4,2,9.197845945391965,20.905285407241404,20.905285407241404,1.0
4,3,9.197845945391965,25.64389549738526,25.64389549738526,1.0
5,1,20.079858566310527,22.8908377654893,22.8908377654893,1.0
5,2,20.079858566310527,24.32807662824858,24.32807662824858,1.0
5,3,20.079858566310527,25.51492106057058,25.51492106057058,1.0
6,1,12.959434530447759,16.816734598671687,16.816734598671687,1.0
6,2,12.959434530447759,19.996259641029734,19.267292089301485,0.8964067544279268
6,3,12.959434530447759,23.853559709253663,23.853559709253663,1.0
7,1,18.79632524559665,24.074802773747162,24.074802773747162,1.0
7,2,18.79632524559665,27.312168112882752,27.312168112882752,1.0
7,3,18.79632524559665,29.391245714543718,29.391245714543718,1.0
8,1,20.282946201361888,23.35628985341488,23.35628985341488,1.0
8,2,20.282946201361888,25.104505130282018,25.104505130282018,1.0
8,3,20.282946201361888,27.739070597997305,27.739070597997305,1.0
9,1,14.77411581530598,17.872132502019305,17.872132502019305,1.0
9,2,14.77411581530598,20.458063238556637,20.458063238556637,1.0
9,3,14.77411581530598,22.376617529805525,22.376617529805525,1.0
10,1,10.101963397448309,14.494601521380112,14.494601521380112,1.0
10,2,10.101963397448309,18.77812864496171,18.77812864496171,1.0
10,3,10.101963397448309,21.83090795961901,21.749070062383506,0.993022569353814
11,1,14.924698733127975,20.256705281687278,20.256705281687278,1.0
11,2,14.924698733127975,25.48171738027461,25.48171738027461,1.0
11,3,14.924698733127975,29.698215227041526,29.698215227041526,1.0
12,1,17.45050494811469,22.24601708476696,22.24601708476696,1.0
12,2,17.45050494811469,26.28374382982032,26.28374382982032,1.0
12,3,17.45050494811469,30.679708527370696,30.679708527370696,1.0
13,1,12.374346211285303,14.251977941213369,14.251977941213369,1.0
13,2,12.374346211285303,16.23658595012182,15.897003845492993,0.9120763785804954
13,3,12.374346211285303,19.93683722019496,18.114217680049887,0.7589921709661834
14,1,15.856071309306962,19.14378649737662,19.14378649737662,1.0
14,2,15.856071309306962,21.29567469639323,21.29567469639323,1.0
14,3,15.856071309306962,23.379278214838862,23.379278214838862,1.0
15,1,22.657587033277405,28.971193801064132,28.971193801064132,1.0
15,2,22.657587033277405,35.021496724717636,35.021496724717636,1.0
15,3,22.657587033277405,37.378433480326045,37.378433480326045,1.0
16,1,15.12795622302302,18.398166175004356,18.398166175004356,1.0
16,2,15.12795622302302,19.48457160550559,19.48457160550559,1.0
16,3,15.12795622302302,21.613024512601992,21.613024512601992,1.0
17,1,30.653596333048853,34.209921827195025,34.209921827195025,1.0
17,2,30.653596333048853,35.03053345707455,35.03053345707455,1.0
17,3,30.653596333048853,36.01562377746031,36.01562377746031,1.0
18,1,14.742194365366691,16.981324063243694,16.981324063243694,1.0
18,2,14.742194365366691,20.939595931107267,20.939595931107267,1.0
18,3,14.742194365366691,25.143446087177228,25.143446087177228,1.0
19,1,20.101590022861586,24.36477459990799,24.36477459990799,1.0
19,2,20.101590022861586,28.379082661370106,28.379082661370106,1.0
19,3,20.101590022861586,31.161508766761727,31.161508766761727,1.0
20,1,20.606948963017146,26.305574414571716,26.305574414571716,1.0
20,2,20.606948963017146,30.028711457859117,30.028711457859117,1.0
20,3,20.606948963017146,31.598198560988127,31.598198560988127,1.0
21,1,15.750589214819744,22.338426262451975,22.338426262451975,1.0
21,2,15.750589214819744,24.54211737337533,24.54211737337533,1.0
21,3,15.750589214819744,25.481776235576056,25.481776235576056,1.0
22,1,11.35666294652799,13.958067224312636,13.958067224312636,1.0
22,2,11.35666294652799,17.96137371208242,17.96137371208242,1.0
22,3,11.35666294652799,22.008814948527217,22.008814948527217,1.0
23,1,13.644007193014344,17.18809931691318,17.18809931691318,1.0
23,2,13.644007193014344,21.165395199916794,21.165395199916794,1.0
23,3,13.644007193014344,24.558466315215224,24.558466315215224,1.0
24,1,16.376925606539427,22.284004451571484,22.284004451571484,1.0
24,2,16.376925606539427,28.20425957776434,28.20425957776434,1.0
24,3,16.376925606539427,32.269568259763524,32.269568259763524,1.0
25,1,18.483012378124016,24.42804322000643,24.42804322000643,1.0
25,2,18.483012378124016,26.79220506312989,26.79220506312989,1.0
25,3,18.483012378124016,28.881525440539406,28.881525440539406,1.0
26,1,14.231791529927609,21.807899758649008,21.807899758649008,1.0
26,2,14.231791529927609,28.581911418509534,28.581911418509534,1.0
26,3,14.231791529927609,33.325220026805084,33.325220026805084,1.0
27,1,23.09351267431555,30.79781800663748,30.79781800663748,1.0
27,2,23.09351267431555,33.16927162002672,33.16927162002672,1.0
27,3,23.09351267431555,34.069802887542295,34.069802887542295,1.0
28,1,11.112410886378655,14.348324014930979,14.348324014930979,1.0
28,2,11.112410886378655,17.309809047909077,17.309809047909077,1.0
28,3,11.112410886378655,22.750227066350412,22.750227066350412,1.0
29,1,17.316815449528633,20.739557565356176,20.739557565356176,1.0
29,2,17.316815449528633,24.271926297536766,24.271926297536766,1.0
29,3,17.316815449528633,28.265806496007578,28.265806496007578,1.0
30,1,10.493391191811181,13.101281876958456,13.101281876958456,1.0
30,2,10.493391191811181,15.353460527077802,15.353460527077802,1.0
30,3,10.493391191811181,17.1354333160696,17.1354333160696,1.0
31,1,18.217510580172245,21.25297539079148,21.25297539079148,1.0
31,2,18.217510580172245,24.831302627460488,24.831302627460488,1.0
31,3,18.217510580172245,27.565866657724975,27.565866657724975,1.0
32,1,17.4495463573723,24.791012547651388,24.791012547651388,1.0
32,2,17.4495463573723,28.611876131223546,28.611876131223546,1.0
32,3,17.4495463573723,32.50670530544744,32.50670530544744,1.0
33,1,11.98793342024854,17.180230757425313,17.180230757425313,1.0
33,2,11.98793342024854,22.688029532100224,22.688029532100224,1.0
33,3,11.98793342024854,26.42750003864531,26.42750003864531,1.0
34,1,8.474910495145595,10.433742816562734,10.433742816562734,1.0
34,2,8.474910495145595,17.007832149199626,17.007832149199626,1.0
34,3,8.474910495145595,23.097684563919245,23.097684563919245,1.0
35,1,16.507140221976535,19.936516211450055,19.936516211450055,1.0
35,2,16.507140221976535,22.95671741771887,22.95671741771887,1.0
35,3,16.507140221976535,25.619331673924442,25.619331673924442,1.0
36,1,16.32049055850282,20.682256360189278,20.682256360189278,1.0
36,2,16.32049055850282,24.27177978912294,24.27177978912294,1.0
36,3,16.32049055850282,27.379956880453605,27.379956880453605,1.0
37,1,10.581806710635734,15.848234359463394,15.848234359463394,1.0
37,2,10.581806710635734,18.925064753888453,18.925064753888453,1.0
37,3,10.581806710635734,22.44927655293653,22.44927655293653,1.0
38,1,23.59387988808083,26.780938096759183,26.780938096759183,1.0
38,2,23.59387988808083,28.96235971678681,28.96235971678681,1.0
38,3,23.59387988808083,32.03132417179558,32.03132417179558,1.0
39,1,8.560735078426765,10.565632022717951,10.565632022717951,1.0
39,2,8.560735078426765,13.435798336427055,13.435798336427055,1.0
39,3,8.560735078426765,17.585762332727242,17.585762332727242,1.0
40,1,13.066203926280657,16.912725954980857,16.912725954980857,1.0
40,2,13.066203926280657,18.848438383420064,18.848438383420064,1.0
40,3,13.066203926280657,20.87054948971978,20.87054948971978,1.0
41,1,12.444455277958802,16.24274256210461,16.24274256210461,1.0
41,2,12.444455277958802,18.25395904199155,18.25395904199155,1.0
